runtime_field,minimum,median,mean,maximum,total
satellite_rollout_seconds,0.005734600010327995,0.008803300006547943,0.017981359997065738,0.1964025000052061,0.44953399992664345
g1_seconds,0.000282000022707507,0.0003100000030826777,0.0003374520025681704,0.0006360000115819275,0.00843630006420426
g2_seconds,0.025844799994956702,0.1110851000121329,0.186165984000545,0.4240152999991551,4.654149600013625
g3_seconds,0.022188900009496137,0.049224099988350645,0.11303232800215483,0.2665049000061117,2.8258082000538707
g4_seconds,0.05497090000426397,0.1495363999856636,0.26871446800301785,0.5676926999876741,6.717861700075446
g5_seconds,0.06732609999016859,0.16271400000550784,0.2840850600029807,0.5679286000085995,7.102126500074519
persistence_seconds,0.020744400040712208,0.04596769995987415,0.07290812800871209,0.16000810003606603,1.822703200217802
generation_runtime_seconds,0.2019504999916535,0.5293524999869987,0.9438727799989283,2.1476020999834873,23.596819499973208
replay_runtime_seconds,0.23339010000927374,0.6758405000146013,1.2192783439997583,2.7294110999791883,30.48195859999396
total_run_seconds,0.4369854000105988,1.2051930000016,2.1631511239986865,4.877013199962676,54.07877809996717
