record_type,relation,source_design_id,source_split,neighbor_design_id,neighbor_split,normalized_euclidean_distance,cross_split,within_predeclared_radius_0_10
nearest_by_relation,new_new,AUGV1-D030,test,AUGV1-D009,train,0.20560486927182473,True,False
nearest_by_relation,new_original,AUGV1-D030,test,D001,train,0.42901258573503953,True,False
nearest_by_relation,new_new,AUGV1-D031,test,AUGV1-D007,train,0.13460738729509497,True,False
nearest_by_relation,new_original,AUGV1-D031,test,D000,test,0.46840196505123105,False,False
nearest_by_relation,new_new,AUGV1-D032,test,AUGV1-D008,train,0.13460738729509508,True,False
nearest_by_relation,new_original,AUGV1-D032,test,D000,test,0.34337021317291455,False,False
nearest_by_relation,new_new,AUGV1-D033,test,AUGV1-D021,train,0.1852548838287322,True,False
nearest_by_relation,new_original,AUGV1-D033,test,D000,test,0.42796814584461473,False,False
nearest_by_relation,new_new,AUGV1-D034,test,AUGV1-D022,train,0.18525488382873204,True,False
nearest_by_relation,new_original,AUGV1-D034,test,D000,test,0.44925935695391983,False,False
nearest_by_relation,new_new,AUGV1-D035,test,AUGV1-D011,train,0.13460738729509508,True,False
nearest_by_relation,new_original,AUGV1-D035,test,D001,train,0.55811529865814191,True,False
nearest_by_relation,new_new,AUGV1-D036,train,AUGV1-D052,train,0.36584380629711388,False,False
nearest_by_relation,new_original,AUGV1-D036,train,D013,train,0.30550528907017144,False,False
nearest_by_relation,new_new,AUGV1-D037,train,AUGV1-D061,validation,0.20842201727654622,True,False
nearest_by_relation,new_original,AUGV1-D037,train,D032,train,0.23181974825273266,False,False
nearest_by_relation,new_new,AUGV1-D038,train,AUGV1-D062,validation,0.20884806693719413,True,False
nearest_by_relation,new_original,AUGV1-D038,train,D026,test,0.44799740651891384,True,False
nearest_by_relation,new_new,AUGV1-D039,train,AUGV1-D067,test,0.36170008918437341,True,False
nearest_by_relation,new_original,AUGV1-D039,train,D001,train,0.48107974410084897,False,False
nearest_by_relation,new_new,AUGV1-D040,train,AUGV1-D068,test,0.30533089348440268,True,False
nearest_by_relation,new_original,AUGV1-D040,train,D012,test,0.44578737203360036,True,False
nearest_by_relation,new_new,AUGV1-D041,train,AUGV1-D057,train,0.35956218498780751,False,False
nearest_by_relation,new_original,AUGV1-D041,train,D029,train,0.4062246659775558,False,False
nearest_by_relation,new_new,AUGV1-D042,train,AUGV1-D054,train,0.32390879186693861,False,False
nearest_by_relation,new_original,AUGV1-D042,train,D014,train,0.25047845633943133,False,False
nearest_by_relation,new_new,AUGV1-D043,train,AUGV1-D055,train,0.32821497332389615,False,False
nearest_by_relation,new_original,AUGV1-D043,train,D008,train,0.33063383873269026,False,False
nearest_by_relation,new_new,AUGV1-D044,train,AUGV1-D068,test,0.2088480669371941,True,False
nearest_by_relation,new_original,AUGV1-D044,train,D036,train,0.46398348167934989,False,False
nearest_by_relation,new_new,AUGV1-D045,train,AUGV1-D069,test,0.20402372001487673,True,False
nearest_by_relation,new_original,AUGV1-D045,train,D028,train,0.46832926641048983,False,False
nearest_by_relation,new_new,AUGV1-D046,train,AUGV1-D062,validation,0.30268707997491062,True,False
nearest_by_relation,new_original,AUGV1-D046,train,D009,train,0.45985867597763708,False,False
nearest_by_relation,new_new,AUGV1-D047,train,AUGV1-D071,test,0.2030209719792582,True,False
nearest_by_relation,new_original,AUGV1-D047,train,D001,train,0.31659097800616898,False,False
nearest_by_relation,new_new,AUGV1-D048,train,AUGV1-D060,validation,0.36959327791655949,True,False
nearest_by_relation,new_original,AUGV1-D048,train,D010,train,0.37137260273693345,False,False
nearest_by_relation,new_new,AUGV1-D049,train,AUGV1-D037,train,0.36577455873228953,False,False
nearest_by_relation,new_original,AUGV1-D049,train,D029,train,0.45495953847576348,False,False
nearest_by_relation,new_new,AUGV1-D050,train,AUGV1-D054,train,0.35275160305641401,False,False
