run_id,run_key,design_id,split,overall_minimum,threshold,signed_margin,absolute_margin,recorded_breach,reproduced_breach,polarity_match,exact_threshold
0,D000-R00,D000,test,0.94999999999999996,0.80000000000000004,0.14999999999999991,0.14999999999999991,False,False,True,False
1,D000-R01,D000,test,0.94999999999999996,0.80000000000000004,0.14999999999999991,0.14999999999999991,False,False,True,False
2,D000-R02,D000,test,0.94999999999999996,0.80000000000000004,0.14999999999999991,0.14999999999999991,False,False,True,False
3,D000-R03,D000,test,0.94999999999999996,0.80000000000000004,0.14999999999999991,0.14999999999999991,False,False,True,False
4,D000-R04,D000,test,0.94999999999999996,0.80000000000000004,0.14999999999999991,0.14999999999999991,False,False,True,False
5,D001-R00,D001,train,0.80000000000000004,0.80000000000000004,0,0,False,False,True,True
6,D001-R01,D001,train,0.75,0.80000000000000004,-0.050000000000000044,0.050000000000000044,True,True,True,False
7,D001-R02,D001,train,0.80000000000000004,0.80000000000000004,0,0,False,False,True,True
8,D001-R03,D001,train,0.69999999999999996,0.80000000000000004,-0.10000000000000009,0.10000000000000009,True,True,True,False
9,D001-R04,D001,train,0.65000000000000002,0.80000000000000004,-0.15000000000000002,0.15000000000000002,True,True,True,False
10,D002-R00,D002,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
11,D002-R01,D002,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
12,D002-R02,D002,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
13,D002-R03,D002,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
14,D002-R04,D002,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
15,D003-R00,D003,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
16,D003-R01,D003,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
17,D003-R02,D003,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
18,D003-R03,D003,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
19,D003-R04,D003,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
20,D004-R00,D004,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
21,D004-R01,D004,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
22,D004-R02,D004,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
23,D004-R03,D004,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
24,D004-R04,D004,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
25,D005-R00,D005,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
26,D005-R01,D005,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
27,D005-R02,D005,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
28,D005-R03,D005,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
29,D005-R04,D005,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
30,D006-R00,D006,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
31,D006-R01,D006,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
32,D006-R02,D006,train,0.050000000000000003,0.80000000000000004,-0.75,0.75,True,True,True,False
33,D006-R03,D006,train,0.050000000000000003,0.80000000000000004,-0.75,0.75,True,True,True,False
34,D006-R04,D006,train,0.050000000000000003,0.80000000000000004,-0.75,0.75,True,True,True,False
35,D007-R00,D007,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
36,D007-R01,D007,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
37,D007-R02,D007,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
38,D007-R03,D007,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
39,D007-R04,D007,validation,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
40,D008-R00,D008,train,0.45000000000000001,0.80000000000000004,-0.35000000000000003,0.35000000000000003,True,True,True,False
41,D008-R01,D008,train,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
42,D008-R02,D008,train,0.34999999999999998,0.80000000000000004,-0.45000000000000007,0.45000000000000007,True,True,True,False
43,D008-R03,D008,train,0.40000000000000002,0.80000000000000004,-0.40000000000000002,0.40000000000000002,True,True,True,False
44,D008-R04,D008,train,0.45000000000000001,0.80000000000000004,-0.35000000000000003,0.35000000000000003,True,True,True,False
45,D009-R00,D009,train,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
46,D009-R01,D009,train,0.59999999999999998,0.80000000000000004,-0.20000000000000007,0.20000000000000007,True,True,True,False
47,D009-R02,D009,train,0.5,0.80000000000000004,-0.30000000000000004,0.30000000000000004,True,True,True,False
48,D009-R03,D009,train,0.29999999999999999,0.80000000000000004,-0.5,0.5,True,True,True,False
49,D009-R04,D009,train,0.59999999999999998,0.80000000000000004,-0.20000000000000007,0.20000000000000007,True,True,True,False
50,D010-R00,D010,train,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
51,D010-R01,D010,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
52,D010-R02,D010,train,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
53,D010-R03,D010,train,0.066666666666666666,0.80000000000000004,-0.73333333333333339,0.73333333333333339,True,True,True,False
54,D010-R04,D010,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
55,D011-R00,D011,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
56,D011-R01,D011,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
57,D011-R02,D011,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
58,D011-R03,D011,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
59,D011-R04,D011,train,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
60,D012-R00,D012,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
61,D012-R01,D012,test,0.055555555555555552,0.80000000000000004,-0.74444444444444446,0.74444444444444446,True,True,True,False
62,D012-R02,D012,test,0,0.80000000000000004,-0.80000000000000004,0.80000000000000004,True,True,True,False
