run_id,run_key,design_id,split,overall_minimum,signed_margin,temporal_breach_count,non_breach
0,D000-R00,D000,test,0.94999999999999996,0.14999999999999991,0,True
1,D000-R01,D000,test,0.94999999999999996,0.14999999999999991,0,True
2,D000-R02,D000,test,0.94999999999999996,0.14999999999999991,0,True
3,D000-R03,D000,test,0.94999999999999996,0.14999999999999991,0,True
4,D000-R04,D000,test,0.94999999999999996,0.14999999999999991,0,True
5,D001-R00,D001,train,0.80000000000000004,0,0,True
7,D001-R02,D001,train,0.80000000000000004,0,0,True
