scope,split,gate,required,maximum_physically_available,feasible,applicability
original_plus_stage_b,train,joint_minimum_class_design_counts,52,130,True,candidate_final_gate_scope
original_plus_stage_b,train,joint_minimum_class_run_counts,250,650,True,candidate_final_gate_scope
original_plus_stage_b,train,majority_to_minority_ratio_at_minimum_counts,12,4,True,candidate_final_gate_scope
original_plus_stage_b,validation,minimum_non_breach_designs,4,30,True,candidate_final_gate_scope
original_plus_stage_b,validation,minimum_breach_designs,10,30,True,candidate_final_gate_scope
original_plus_stage_b,validation,minimum_non_breach_runs,14,150,True,candidate_final_gate_scope
original_plus_stage_b,validation,minimum_breach_runs,60,150,True,candidate_final_gate_scope
original_plus_stage_b,validation,minimum_boundary_region_designs,3,6,True,candidate_final_gate_scope
original_plus_stage_b,validation,minimum_distinct_run_margin_values,12,150,True,candidate_final_gate_scope
original_plus_stage_b,validation,joint_minimum_class_design_counts,14,30,True,candidate_final_gate_scope
original_plus_stage_b,validation,joint_minimum_class_run_counts,74,150,True,candidate_final_gate_scope
original_plus_stage_b,validation,majority_to_minority_ratio_at_minimum_counts,10,4.2857142857142856,True,candidate_final_gate_scope
original_plus_stage_b,test,minimum_non_breach_designs,4,30,True,candidate_final_gate_scope
original_plus_stage_b,test,minimum_breach_designs,10,30,True,candidate_final_gate_scope
original_plus_stage_b,test,minimum_non_breach_runs,14,150,True,candidate_final_gate_scope
original_plus_stage_b,test,minimum_breach_runs,60,150,True,candidate_final_gate_scope
original_plus_stage_b,test,minimum_boundary_region_designs,3,6,True,candidate_final_gate_scope
original_plus_stage_b,test,minimum_distinct_run_margin_values,12,150,True,candidate_final_gate_scope
original_plus_stage_b,test,joint_minimum_class_design_counts,14,30,True,candidate_final_gate_scope
original_plus_stage_b,test,joint_minimum_class_run_counts,74,150,True,candidate_final_gate_scope
original_plus_stage_b,test,majority_to_minority_ratio_at_minimum_counts,10,4.2857142857142856,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,minimum_non_breach_designs,12,150,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,minimum_breach_designs,40,150,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,minimum_non_breach_runs,50,750,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,minimum_breach_runs,200,750,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,minimum_boundary_region_designs,10,32,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,minimum_distinct_run_margin_values,30,750,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,joint_minimum_class_design_counts,52,150,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,joint_minimum_class_run_counts,250,750,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,train,majority_to_minority_ratio_at_minimum_counts,12,4,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,minimum_non_breach_designs,4,35,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,minimum_breach_designs,10,35,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,minimum_non_breach_runs,14,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,minimum_breach_runs,60,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,minimum_boundary_region_designs,3,8,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,minimum_distinct_run_margin_values,12,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,joint_minimum_class_design_counts,14,35,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,joint_minimum_class_run_counts,74,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,validation,majority_to_minority_ratio_at_minimum_counts,10,4.2857142857142856,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,minimum_non_breach_designs,4,35,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,minimum_breach_designs,10,35,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,minimum_non_breach_runs,14,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,minimum_breach_runs,60,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,minimum_boundary_region_designs,3,8,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,minimum_distinct_run_margin_values,12,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,joint_minimum_class_design_counts,14,35,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,joint_minimum_class_run_counts,74,175,True,candidate_final_gate_scope
original_plus_stage_a_plus_stage_b,test,majority_to_minority_ratio_at_minimum_counts,10,4.2857142857142856,True,candidate_final_gate_scope
