run_id,run_key,design_id,split,doe_stratum,absolute_boundary_distance,failure_adjusted_overall_service_fraction_min,overall_boundary_margin,overall_threshold_breach_any,rank,ranking_type,temporal_breach_fraction
6,D001-R01,D001,train,pilot_anchor,0.050000000000000044,0.75,-0.050000000000000044,True,1,nearest_breach,0.18181818181818182
8,D001-R03,D001,train,pilot_anchor,0.10000000000000009,0.69999999999999996,-0.10000000000000009,True,2,nearest_breach,0.27272727272727271
329,D065-R04,D065,train,global,0.125,0.67500000000000004,-0.125,True,3,nearest_breach,1
70,D014-R00,D014,train,transition,0.13333333333333341,0.66666666666666663,-0.13333333333333341,True,4,nearest_breach,0.72727272727272729
270,D054-R00,D054,train,global,0.13333333333333341,0.66666666666666663,-0.13333333333333341,True,5,nearest_breach,0.45454545454545453
271,D054-R01,D054,train,global,0.13333333333333341,0.66666666666666663,-0.13333333333333341,True,6,nearest_breach,1
336,D067-R01,D067,validation,global,0.13333333333333341,0.66666666666666663,-0.13333333333333341,True,7,nearest_breach,0.90909090909090906
337,D067-R02,D067,validation,global,0.13333333333333341,0.66666666666666663,-0.13333333333333341,True,8,nearest_breach,0.90909090909090906
416,D083-R01,D083,train,global,0.13333333333333341,0.66666666666666663,-0.13333333333333341,True,9,nearest_breach,0.36363636363636365
418,D083-R03,D083,train,global,0.13333333333333341,0.66666666666666663,-0.13333333333333341,True,10,nearest_breach,0.63636363636363635
9,D001-R04,D001,train,pilot_anchor,0.15000000000000002,0.65000000000000002,-0.15000000000000002,True,11,nearest_breach,0.72727272727272729
327,D065-R02,D065,train,global,0.15000000000000002,0.65000000000000002,-0.15000000000000002,True,12,nearest_breach,1
417,D083-R02,D083,train,global,0.16666666666666674,0.6333333333333333,-0.16666666666666674,True,13,nearest_breach,0.90909090909090906
46,D009-R01,D009,train,transition,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,14,nearest_breach,0.63636363636363635
49,D009-R04,D009,train,transition,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,15,nearest_breach,0.63636363636363635
91,D018-R01,D018,train,transition,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,16,nearest_breach,0.18181818181818182
116,D023-R01,D023,train,transition,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,17,nearest_breach,0.63636363636363635
119,D023-R04,D023,train,transition,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,18,nearest_breach,0.54545454545454541
173,D034-R03,D034,test,transition,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,19,nearest_breach,0.90909090909090906
325,D065-R00,D065,train,global,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,20,nearest_breach,1
338,D067-R03,D067,validation,global,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,21,nearest_breach,1
404,D080-R04,D080,train,global,0.20000000000000007,0.59999999999999998,-0.20000000000000007,True,22,nearest_breach,1
114,D022-R04,D022,train,transition,0.21666666666666667,0.58333333333333337,-0.21666666666666667,True,23,nearest_breach,0.81818181818181823
