design_id,design_index,split,doe_stratum,adjacent_search_k,altitude_km,boundary_margin_population_stddev,breach_realization_count,civilian_count,civilian_selected_station_ids,composition_weights,configured_satellite_count,contract_spec_hash,descriptive_resilience_class,design_description,design_group_id,design_name,design_record_hash,duration_minutes,epoch_iso,government_count,government_selected_station_ids,ground_design_hash,ground_failure_policy_hash,ground_selection_hash,ground_selection_seed,ground_service_policy_hash,ground_service_threshold,ground_station_failure_probability,inclination_deg,isl_policy,lhs_candidate_id,max_inter_plane_links_per_sat,max_isl_distance_km,maximum_boundary_margin,maximum_overall_service,maximum_temporal_breach_fraction,mean_boundary_margin,mean_overall_service,mean_temporal_breach_fraction,military_count,military_selected_station_ids,minimum_boundary_margin,minimum_elevation_deg,minimum_overall_service,non_breach_realization_count,non_breach_realization_fraction,num_planes,orbital_engine,phasing_factor,pilot_design_hash,pilot_design_id,pilot_design_manifest_hash,run_ids,satellite_edge_failure_probability,satellite_failure_model,satellite_node_failure_probability,sats_per_plane,selected_station_ids,space_gcc_threshold,step_seconds,total_ground_station_count,visibility_policy_hash
D000,0,test,pilot_anchor,1,1200,0,0,8,"[""CIV_PILOT_045"",""CIV_PILOT_041"",""CIV_PILOT_018"",""CIV_PILOT_014"",""CIV_PILOT_032"",""CIV_PILOT_046"",""CIV_PILOT_043"",""CIV_PILOT_017""]",,48,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,consistently resilient,Final scientific-parameter anchor sourced from P01,D000,Pilot anchor P01: Large robust reference,11757ff6c9260b1a98b97c6dc95fc8909f3ebfb4086ff257bcdb165f78fdad67,10,2000-01-01T12:00:00+00:00,6,"[""GOV_PILOT_002"",""GOV_PILOT_003"",""GOV_PILOT_010"",""GOV_PILOT_038"",""GOV_PILOT_006"",""GOV_PILOT_015""]",70f5a79e6271a1ad4c438ac5d15fc57008bfce2572ef7d078c4487718ecbac65,d29cac302069099deb9014e0ec6a0018d039cc42a075587cc604a671c779d6c7,d12f8b21cd2b0a771630a790edee5698dd72d991bf1b2cce370f48da14dc4187,9054823368371031027,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,0.80000000000000004,0,98,grid_fixed,,1,10000,0.14999999999999991,0.94999999999999996,0,0.14999999999999991,0.94999999999999996,0,6,"[""MIL_PILOT_031"",""MIL_PILOT_042"",""MIL_PILOT_007"",""MIL_PILOT_043"",""MIL_PILOT_030"",""MIL_PILOT_006""]",0.14999999999999991,10,0.94999999999999996,5,1,6,sgp4,1,d8253c6de6f4bad04a9d6791c1138cc4b47b234c74bc41242a15b4593b71c53f,P01,514795b9cc17deacd81ffb9308e0d944f8da64b80444047647e919b375ef27bf,"[0,1,2,3,4]",0,persistent_temporal_union_edges_v1,0,8,"[""CIV_PILOT_045"",""CIV_PILOT_041"",""CIV_PILOT_018"",""CIV_PILOT_014"",""CIV_PILOT_032"",""CIV_PILOT_046"",""CIV_PILOT_043"",""CIV_PILOT_017"",""GOV_PILOT_002"",""GOV_PILOT_003"",""GOV_PILOT_010"",""GOV_PILOT_038"",""GOV_PILOT_006"",""GOV_PILOT_015"",""MIL_PILOT_031"",""MIL_PILOT_042"",""MIL_PILOT_007"",""MIL_PILOT_043"",""MIL_PILOT_030"",""MIL_PILOT_006""]",0.80000000000000004,60,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1
D001,1,train,pilot_anchor,1,800,0.058309518948453022,3,12,"[""CIV_PILOT_005"",""CIV_PILOT_013"",""CIV_PILOT_028"",""CIV_PILOT_004"",""CIV_PILOT_027"",""CIV_PILOT_010"",""CIV_PILOT_009"",""CIV_PILOT_032"",""CIV_PILOT_026"",""CIV_PILOT_021"",""CIV_PILOT_025"",""CIV_PILOT_033""]",,48,482935e13017dc55cfbfcf2ba79ae50c09dfcffe69762806cc5448273406498b,mixed,Final scientific-parameter anchor sourced from P02,D001,"Pilot anchor P02: Large constellation, light failures",b7662e7f64f6d7a44f6025506d0fd931af805a509806426a138b78faa702e633,10,2000-01-01T12:00:00+00:00,4,"[""GOV_PILOT_024"",""GOV_PILOT_016"",""GOV_PILOT_039"",""GOV_PILOT_005""]",00514993cc6845a7189f522d8842a5a9dff5c2bff262f20927a797859c45723a,6c70000af244c32df77b676f0c195ec319906e5503dfd35289d18be180e6eefe,bb455284571218fa1d5fc7a188dea718b272ae89960762423f49221528525e5b,2248792008152382013,e314b9d4123ef84832965b1baadd04a118805f8cab368bd548a3f8f65ae02950,0.80000000000000004,0.050000000000000003,60,grid_fixed,,1,10000,0,0.80000000000000004,0.72727272727272729,-0.060000000000000032,0.73999999999999999,0.23636363636363639,4,"[""MIL_PILOT_025"",""MIL_PILOT_033"",""MIL_PILOT_024"",""MIL_PILOT_050""]",-0.15000000000000002,10,0.65000000000000002,2,0.40000000000000002,6,sgp4,1,a1b08ae4f395b1d9c57f8d27a4d04097602278e43def9bde02b1b95dab95b37b,P02,514795b9cc17deacd81ffb9308e0d944f8da64b80444047647e919b375ef27bf,"[5,6,7,8,9]",0.050000000000000003,persistent_temporal_union_edges_v1,0.050000000000000003,8,"[""CIV_PILOT_005"",""CIV_PILOT_013"",""CIV_PILOT_028"",""CIV_PILOT_004"",""CIV_PILOT_027"",""CIV_PILOT_010"",""CIV_PILOT_009"",""CIV_PILOT_032"",""CIV_PILOT_026"",""CIV_PILOT_021"",""CIV_PILOT_025"",""CIV_PILOT_033"",""GOV_PILOT_024"",""GOV_PILOT_016"",""GOV_PILOT_039"",""GOV_PILOT_005"",""MIL_PILOT_025"",""MIL_PILOT_033"",""MIL_PILOT_024"",""MIL_PILOT_050""]",0.80000000000000004,60,20,5dda243a39d13746d4e9d16922318df1774c4cf29a95fbc70677b618a41c45b1
