feature,importance
altitude_km,0.3033380718046267
inclination_deg,0.24751700067226262
total_satellites,0.14075035475663128
node_failure_prob,0.10953251494276497
sats_per_plane,0.0954749799180095
edge_failure_prob,0.07809248026072653
num_planes,0.025294597644978423
duration_minutes,0.0
step_seconds,0.0
