scope,first_design_id,first_partition,second_design_id,second_partition,normalized_distance
stage_a_pair,SA-D002,development,SA-D026,development,1.1502301207995991
stage_a_pair,SA-D002,development,SA-D027,development,1.2650107720516888
stage_a_pair,SA-D002,development,SA-D028,validation,1.5449356639619873
stage_a_pair,SA-D002,development,SA-D029,sealed_holdout,1.6718076446595513
stage_a_pair,SA-D003,development,SA-D004,development,0.4597194679706561
stage_a_pair,SA-D003,development,SA-D005,development,0.52902708206001392
stage_a_pair,SA-D003,development,SA-D006,development,0.36065369917779833
stage_a_pair,SA-D003,development,SA-D007,development,0.36926092325463206
stage_a_pair,SA-D003,development,SA-D008,validation,0.48664965003829075
stage_a_pair,SA-D003,development,SA-D009,validation,0.26830631729015658
stage_a_pair,SA-D003,development,SA-D010,sealed_holdout,0.44620162353698822
stage_a_pair,SA-D003,development,SA-D011,sealed_holdout,0.40632874996328711
stage_a_pair,SA-D003,development,SA-D012,development,0.4274387771152845
stage_a_pair,SA-D003,development,SA-D013,development,0.4698608322382497
stage_a_pair,SA-D003,development,SA-D014,development,0.57105016721630752
stage_a_pair,SA-D003,development,SA-D015,development,0.68424962069537243
stage_a_pair,SA-D003,development,SA-D016,development,0.60455123924398235
stage_a_pair,SA-D003,development,SA-D017,development,0.68060243910823648
stage_a_pair,SA-D003,development,SA-D018,development,0.51381961107889529
stage_a_pair,SA-D003,development,SA-D019,development,0.71520897342765111
stage_a_pair,SA-D003,development,SA-D020,validation,0.4754598798424805
stage_a_pair,SA-D003,development,SA-D021,validation,0.83369092733716932
stage_a_pair,SA-D003,development,SA-D022,sealed_holdout,0.49985409186336854
stage_a_pair,SA-D003,development,SA-D023,sealed_holdout,1.0003720399108911
stage_a_pair,SA-D003,development,SA-D024,development,2.337087993934746
stage_a_pair,SA-D003,development,SA-D025,development,1.5124126120303838
stage_a_pair,SA-D003,development,SA-D026,development,1.1986035586654062
stage_a_pair,SA-D003,development,SA-D027,development,1.223052360212691
stage_a_pair,SA-D003,development,SA-D028,validation,1.46462264506741
stage_a_pair,SA-D003,development,SA-D029,sealed_holdout,1.630253130830345
stage_a_pair,SA-D004,development,SA-D005,development,0.44932528026567642
stage_a_pair,SA-D004,development,SA-D006,development,0.47518771688196504
stage_a_pair,SA-D004,development,SA-D007,development,0.45236866457455444
stage_a_pair,SA-D004,development,SA-D008,validation,0.23402699845725125
stage_a_pair,SA-D004,development,SA-D009,validation,0.43250335544933688
stage_a_pair,SA-D004,development,SA-D010,sealed_holdout,0.36448210873310194
stage_a_pair,SA-D004,development,SA-D011,sealed_holdout,0.52706705216174876
stage_a_pair,SA-D004,development,SA-D012,development,0.53631018449645118
stage_a_pair,SA-D004,development,SA-D013,development,0.59357358538468008
stage_a_pair,SA-D004,development,SA-D014,development,0.66811463186118636
stage_a_pair,SA-D004,development,SA-D015,development,0.78560493052837999
stage_a_pair,SA-D004,development,SA-D016,development,0.65699117854729661
stage_a_pair,SA-D004,development,SA-D017,development,0.75628878177180514
stage_a_pair,SA-D004,development,SA-D018,development,0.59681302648784973
stage_a_pair,SA-D004,development,SA-D019,development,0.79032369464309593
