global_run_id,run_key,design_id,realization_id,partition,run_record_hash,design_record_hash,design_construction_seed,ground_selection_seed,satellite_failure_seed,ground_failure_seed
522,SA-D004-R02,SA-D004,R02,development,c13ca1230398df81ad82d22a1b361f221abcc27fd239e5828c5f045e096529fc,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05,675952363214276130,3337033602941796367,9194237219794575435,5726892765604265935
523,SA-D004-R03,SA-D004,R03,development,f51fa768b71a05eb15d9ab7c7bb6e738cd122a0a444fb52fa18559a9d075c1d1,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05,675952363214276130,3337033602941796367,102613571449877890,5874391730089911574
524,SA-D004-R04,SA-D004,R04,development,bc470e29849153b950936bac65a544dccc99f7a0b5dc4c9560a916a739fd8184,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05,675952363214276130,3337033602941796367,6236381814796433457,2669307277494885105
525,SA-D005-R00,SA-D005,R00,development,fe18c8c3744781a539db89d98118accd011f5e0d8d24c1a297b8e835b69972f4,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,8061044501700070677,737787036010211928,3308370151884916477,5426581613713331760
526,SA-D005-R01,SA-D005,R01,development,e4aaf84c2a7b4364c360ca19dbc218ce2cff43e522fd17c65ec4efbac7d60678,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,8061044501700070677,737787036010211928,3412712533427706035,9033282267002332190
527,SA-D005-R02,SA-D005,R02,development,0ed960d6f8f70fb3d1eb3f984cffce4d3cf8fc71b35901b02abb2ff457a373a8,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,8061044501700070677,737787036010211928,4207254734956696263,5111278159296787069
528,SA-D005-R03,SA-D005,R03,development,6ae3405d0c8d390158b65bd7545c43f904089e6d8041a159a59f977b5e36ad14,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,8061044501700070677,737787036010211928,5946551497328620751,4223809114568627480
529,SA-D005-R04,SA-D005,R04,development,2c3593c4738651e25ee3f6eaaf1b1ee8679dce270929525f6bb6071892df272e,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,8061044501700070677,737787036010211928,801285088152463985,8085321325880990652
530,SA-D006-R00,SA-D006,R00,development,c00ade39daa726d401046826b58c883f591b53b0fdeaeb6dc4a7b08240c78e32,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,4237298627399678523,594543078092959542,1728284287359203097,577672739894581670
531,SA-D006-R01,SA-D006,R01,development,448a44846a6cb4886dca8f998a89f86cc0a3a0de35df53da7a32931cbabf4ef2,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,4237298627399678523,594543078092959542,1330978622213427394,3202712025063677728
532,SA-D006-R02,SA-D006,R02,development,58573f4f0b07043ef2c76fa8b9d461e5ce8e983cc7e45ef6880fc7e4063ba94d,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,4237298627399678523,594543078092959542,2221717418687996336,8108397272006365265
533,SA-D006-R03,SA-D006,R03,development,282df4f86515ed9833cd4f458634cb8409d7217d42248b2526c8a96e2f275e69,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,4237298627399678523,594543078092959542,105809403197181777,8418989614345474968
534,SA-D006-R04,SA-D006,R04,development,ec8568f5f6e6feeead3639b365199e690dfd757b453d234af67b6b9434aed051,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,4237298627399678523,594543078092959542,4634134630567118782,2531575248377971383
535,SA-D007-R00,SA-D007,R00,development,765a57cfb77812076c680918e6e0e8412cf94a08ad686fb6e83200f80ef56db0,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,6117733926443236447,1997335259903401669,5198021639334161634,8817611764283400015
536,SA-D007-R01,SA-D007,R01,development,283fa118c381b4127cffd729d26b65df6f65b3020a549718bfce937f57a25978,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,6117733926443236447,1997335259903401669,2818605206936771555,6018265379251850116
537,SA-D007-R02,SA-D007,R02,development,65ab86ec4fcd4e643afc949c2b6b72f56e92be63753c6d45d3aa81ae890a26f2,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,6117733926443236447,1997335259903401669,1363546898392855399,7414089528604654437
538,SA-D007-R03,SA-D007,R03,development,27047316d933c108b5bb551cdf1eb332ff7e799c6b0e95ca26b079af6677f93a,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,6117733926443236447,1997335259903401669,1559504519786269550,8810397378908013074
539,SA-D007-R04,SA-D007,R04,development,392ffb5fdec7cdb1efc1b1994cbd1c43eea4b32d996adc7ece83cf54d80b8b18,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,6117733926443236447,1997335259903401669,4893348648272042281,5589404307374529358
560,SA-D012-R00,SA-D012,R00,development,a0032a21a6fcde424e7c8904f53df26893d4b8596b212b67b291cb111a7389d7,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,1572412445720927117,7975483726536124909,6683604161433896560,7156890926219015981
561,SA-D012-R01,SA-D012,R01,development,e3be52c93f671b35979c8cf83a4f5b6803f36ca0330c18878a83b9043378a7d1,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,1572412445720927117,7975483726536124909,2296372591559383522,3375547457191892563
562,SA-D012-R02,SA-D012,R02,development,1db46f0435444221df37053aaf98d2c6e3e756e111ef6bc4f3685ab3da21233f,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,1572412445720927117,7975483726536124909,9038991867290624774,6137280915573809426
563,SA-D012-R03,SA-D012,R03,development,a50051e7234bf14cac6c7a0a7ea9ecbfb1d563dd5010502cfdffd087a83306f0,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,1572412445720927117,7975483726536124909,287902001101829142,4199705500721155275
564,SA-D012-R04,SA-D012,R04,development,8cc34309926c1749d2bb52f63bf000395f1a5089148e2894d1c5693aae43c5f3,1892f9fe2d566bf640a06009cf3b2510b482194a18e386c30479ddd3468b28d4,1572412445720927117,7975483726536124909,7742818770230803754,3330682930636512132
565,SA-D013-R00,SA-D013,R00,development,488252c8f76ac7d481b85b905dda19c235c606d9e71c8ca7efee164945a4484f,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,4198090032488875800,2929272005731089911,1674999186302748253,6850600067424179979
566,SA-D013-R01,SA-D013,R01,development,9a1e4c4ee95dcbdc18c9424194a43046f67c382770b6257141f30f5cb24acf8b,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,4198090032488875800,2929272005731089911,6942751622552548832,3565300200469209344
567,SA-D013-R02,SA-D013,R02,development,c3367aed13e913aa4a62f867e5fdf87a8d9897d070481c0b7c325dbced0a6d98,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,4198090032488875800,2929272005731089911,5594236491973567089,2736005381608436426
568,SA-D013-R03,SA-D013,R03,development,74d78f7b020b716d27ad56d533adaf2591a0ac3bd78628f72f69d9008ca4af93,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,4198090032488875800,2929272005731089911,4158529411387784147,475690175281634772
569,SA-D013-R04,SA-D013,R04,development,5c6aeeb828339e2c5cb99a1636b72afce33a32ab593a9094a4fa836ead0c5383,d2b011e6ce59e44bbdfb695af8a45168f8836174561f05684fafd46d9092affc,4198090032488875800,2929272005731089911,2351956735820165205,3000322757957118626
570,SA-D014-R00,SA-D014,R00,development,f5b5478379eff499cac3fa60d37c524bfbba5a1ccbf0435051d11140c7bcb6c7,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,3963789601799857817,5156758857868109763,355640187161090869,2862591848302028635
571,SA-D014-R01,SA-D014,R01,development,49655ae881385a4d5434d759404283c971c699f86dfc9c49dd6d1b63da793b16,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,3963789601799857817,5156758857868109763,6144541337147003661,1983854519191342403
572,SA-D014-R02,SA-D014,R02,development,8deb38c109bc0f72f370b8ad00f6dc2e7d3cfe97b7f66beeebe949af625a03dc,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,3963789601799857817,5156758857868109763,435922547720400945,4823151646607746035
573,SA-D014-R03,SA-D014,R03,development,83a903e7ca1ce77037af0739bdca5fa5ccc0f1fd6e16c3d725dc8cd567c5158f,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,3963789601799857817,5156758857868109763,1978490379873764382,82998455443358283
574,SA-D014-R04,SA-D014,R04,development,f1f02dfa7ee3eebacf53dade068fdaff94276addb9e1fc5f28365118a1ec6566,71ddb60aa969fd3b84e705152364cb63d4059eecc5accd77441fc0b77301624c,3963789601799857817,5156758857868109763,220499141839948204,6266820099795712193
575,SA-D015-R00,SA-D015,R00,development,f03a577b1637a66bed335f3501d7661c0326670aedefff7d718bb1d0778a7bae,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,5643387104467542404,8068545688676636177,5551566968587752853,6402468001330812421
576,SA-D015-R01,SA-D015,R01,development,1d24e73f82046ac2e8b6ab7a886790dae3d4f99aece55d5552a87103f416df69,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,5643387104467542404,8068545688676636177,8172624300617645501,6776380666672947888
577,SA-D015-R02,SA-D015,R02,development,f5798a2f787cefb69e6aacfc99e92b923ea6b5ff664fc5d62d6e8570854961bb,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,5643387104467542404,8068545688676636177,7490846148519017327,4025092762533139435
578,SA-D015-R03,SA-D015,R03,development,42ad168edf5a0983084c8381ab324fb92dfd45b6765eb97dac317647aa344d9f,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,5643387104467542404,8068545688676636177,7167238794835473766,7051459579815899623
579,SA-D015-R04,SA-D015,R04,development,60e74f3c24ba12cba1e603a316285de0206f671146e9c87dd1461b55efb3eca5,4a085435548f63d5aa44a6478a51f45dd74b8bec4e17a560c0e2f1bf813f9cd9,5643387104467542404,8068545688676636177,3509018783019007223,8841378578035938016
580,SA-D016-R00,SA-D016,R00,development,99cd2ec4f447ff2d19368a124432c7e68ef017cd490808969907efceca6fbdc1,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,7155201336759648745,4076073042123191225,6495187436675158235,2122972460212211128
581,SA-D016-R01,SA-D016,R01,development,9dee8d424592d21bcc42aaae38165e1922539afaf16dde571db8fc7b80c4d4f0,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,7155201336759648745,4076073042123191225,3016130399293841000,5761553657997271859
582,SA-D016-R02,SA-D016,R02,development,e813c094410834f9e373f1fecb161b37b1178f796c6ad77b36eaa25d1ab7a4b6,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,7155201336759648745,4076073042123191225,5608612142562943805,3155222218476336805
583,SA-D016-R03,SA-D016,R03,development,558135f43c81f868754e17ca66e378c08b2d7fa7e10ecb3a926172200ae104db,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,7155201336759648745,4076073042123191225,6925009768923889357,602263870634710547
584,SA-D016-R04,SA-D016,R04,development,3b821f3d6e02945ea847f4642e5d89f3b6f3f353c32a4866515b2b8bda2cffc3,132c51b287dde3cfadeeac6a990cc5a0b0555d5fa2286b6e0176d91f9bc5b1cb,7155201336759648745,4076073042123191225,8935914508898446948,4946534744850835496
585,SA-D017-R00,SA-D017,R00,development,0f66607690fde695e28737f41397e07810d5983db3fd3fb482bc4397b5342134,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,3992828209594947754,5766450903695928479,2207896047788294500,3413177193458242245
586,SA-D017-R01,SA-D017,R01,development,0610cba93bcfcca18c1be136e39284c9943f18c3fcd6353126fd391b19c6972b,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,3992828209594947754,5766450903695928479,7257810779888231777,38401246729534127
587,SA-D017-R02,SA-D017,R02,development,b07f6b89cae257701bb2ff1d8749ada584a410261b715a4bd5ff254f5d7c0312,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,3992828209594947754,5766450903695928479,790203993408813677,1994403662460147239
588,SA-D017-R03,SA-D017,R03,development,49072e1ef6d0622ba08d74eaa72bb51830d07c5db8f79810b1823e093ff6cbe4,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,3992828209594947754,5766450903695928479,1684245978526777983,5479862009280914827
589,SA-D017-R04,SA-D017,R04,development,ee7c3dedca6d6d9cfa657e45c90029d6d3b4e1d636a4a1f4265edc58b81136ac,bb5a34b02ef6e0dcb23802230c6cd89dd19710b980e61349997feed63bb258b6,3992828209594947754,5766450903695928479,5840823881996399650,2456817556016069455
590,SA-D018-R00,SA-D018,R00,development,ab38d00137a75e291ba53f080842d9994e4b9b3b7a848e55df0ecdd83e08d615,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,791183951372700354,9184778635357925212,7066249332871708008,8616737624194505735
591,SA-D018-R01,SA-D018,R01,development,9d16fe4629b8a0e9a7f0ea38cd7654a0d9e6058fdde7420703af64a0f444c6fa,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,791183951372700354,9184778635357925212,2952820553815511878,3346314458491038054
592,SA-D018-R02,SA-D018,R02,development,7d24d8a47b6404246377037c022bad6b868da182c99e112e7691175c157a5fde,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,791183951372700354,9184778635357925212,6697556157490495479,9196878424840131938
593,SA-D018-R03,SA-D018,R03,development,0fb820ccc9a60ff94a884ebedb138eae092a548b75f727f01f4cd300e5ab8629,af737e9954329e9658ab9c27c73d3972cd1bd6146ed69564dc35a3d130bea327,791183951372700354,9184778635357925212,8321278130729409234,119323540837368235
