corpus_namespace,global_run_id,run_key,design_id,design_index,realization_id,realization_index,region,partition,sealed,design_record_hash,proposal_status,simulation_authorized,run_record_hash
stage_a_discovery_v1,521,SA-D004-R01,SA-D004,4,R01,1,resilient_core,development,False,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05,NOT_FROZEN,False,85f2aa56b49f15a60679c6974d1667f6532ce49c78c8cb1d1b42339949a7a442
stage_a_discovery_v1,522,SA-D004-R02,SA-D004,4,R02,2,resilient_core,development,False,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05,NOT_FROZEN,False,c13ca1230398df81ad82d22a1b361f221abcc27fd239e5828c5f045e096529fc
stage_a_discovery_v1,523,SA-D004-R03,SA-D004,4,R03,3,resilient_core,development,False,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05,NOT_FROZEN,False,f51fa768b71a05eb15d9ab7c7bb6e738cd122a0a444fb52fa18559a9d075c1d1
stage_a_discovery_v1,524,SA-D004-R04,SA-D004,4,R04,4,resilient_core,development,False,3a3196aefa6ba952ec11195e07e1ac0e2f30a816bfb33a96f826789d52742a05,NOT_FROZEN,False,bc470e29849153b950936bac65a544dccc99f7a0b5dc4c9560a916a739fd8184
stage_a_discovery_v1,525,SA-D005-R00,SA-D005,5,R00,0,resilient_core,development,False,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,NOT_FROZEN,False,fe18c8c3744781a539db89d98118accd011f5e0d8d24c1a297b8e835b69972f4
stage_a_discovery_v1,526,SA-D005-R01,SA-D005,5,R01,1,resilient_core,development,False,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,NOT_FROZEN,False,e4aaf84c2a7b4364c360ca19dbc218ce2cff43e522fd17c65ec4efbac7d60678
stage_a_discovery_v1,527,SA-D005-R02,SA-D005,5,R02,2,resilient_core,development,False,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,NOT_FROZEN,False,0ed960d6f8f70fb3d1eb3f984cffce4d3cf8fc71b35901b02abb2ff457a373a8
stage_a_discovery_v1,528,SA-D005-R03,SA-D005,5,R03,3,resilient_core,development,False,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,NOT_FROZEN,False,6ae3405d0c8d390158b65bd7545c43f904089e6d8041a159a59f977b5e36ad14
stage_a_discovery_v1,529,SA-D005-R04,SA-D005,5,R04,4,resilient_core,development,False,6df6f3c9eab8a3de45307f412272c223fc3d9661ec37029fd3eba693a155ecce,NOT_FROZEN,False,2c3593c4738651e25ee3f6eaaf1b1ee8679dce270929525f6bb6071892df272e
stage_a_discovery_v1,530,SA-D006-R00,SA-D006,6,R00,0,resilient_core,development,False,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,NOT_FROZEN,False,c00ade39daa726d401046826b58c883f591b53b0fdeaeb6dc4a7b08240c78e32
stage_a_discovery_v1,531,SA-D006-R01,SA-D006,6,R01,1,resilient_core,development,False,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,NOT_FROZEN,False,448a44846a6cb4886dca8f998a89f86cc0a3a0de35df53da7a32931cbabf4ef2
stage_a_discovery_v1,532,SA-D006-R02,SA-D006,6,R02,2,resilient_core,development,False,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,NOT_FROZEN,False,58573f4f0b07043ef2c76fa8b9d461e5ce8e983cc7e45ef6880fc7e4063ba94d
stage_a_discovery_v1,533,SA-D006-R03,SA-D006,6,R03,3,resilient_core,development,False,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,NOT_FROZEN,False,282df4f86515ed9833cd4f458634cb8409d7217d42248b2526c8a96e2f275e69
stage_a_discovery_v1,534,SA-D006-R04,SA-D006,6,R04,4,resilient_core,development,False,df1934969bc6b48836a71f33cfa6b94f678b698118218abdf40f99062135c447,NOT_FROZEN,False,ec8568f5f6e6feeead3639b365199e690dfd757b453d234af67b6b9434aed051
stage_a_discovery_v1,535,SA-D007-R00,SA-D007,7,R00,0,resilient_core,development,False,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,NOT_FROZEN,False,765a57cfb77812076c680918e6e0e8412cf94a08ad686fb6e83200f80ef56db0
stage_a_discovery_v1,536,SA-D007-R01,SA-D007,7,R01,1,resilient_core,development,False,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,NOT_FROZEN,False,283fa118c381b4127cffd729d26b65df6f65b3020a549718bfce937f57a25978
stage_a_discovery_v1,537,SA-D007-R02,SA-D007,7,R02,2,resilient_core,development,False,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,NOT_FROZEN,False,65ab86ec4fcd4e643afc949c2b6b72f56e92be63753c6d45d3aa81ae890a26f2
stage_a_discovery_v1,538,SA-D007-R03,SA-D007,7,R03,3,resilient_core,development,False,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,NOT_FROZEN,False,27047316d933c108b5bb551cdf1eb332ff7e799c6b0e95ca26b079af6677f93a
stage_a_discovery_v1,539,SA-D007-R04,SA-D007,7,R04,4,resilient_core,development,False,76c5ee8a63a8ae4edf61ae630b583b80f232026899cabc5895aa3db28f2bde41,NOT_FROZEN,False,392ffb5fdec7cdb1efc1b1994cbd1c43eea4b32d996adc7ece83cf54d80b8b18
stage_a_discovery_v1,540,SA-D008-R00,SA-D008,8,R00,0,resilient_core,validation,False,6747b1dfe6d1fddc8e42e564ce279872a9811fc1dca50cdfb1ebacd50350ac36,NOT_FROZEN,False,b5c058273c55b58b7c8d6338a691eae3503e40a4e4bf4a4221f5d118da262e93
stage_a_discovery_v1,541,SA-D008-R01,SA-D008,8,R01,1,resilient_core,validation,False,6747b1dfe6d1fddc8e42e564ce279872a9811fc1dca50cdfb1ebacd50350ac36,NOT_FROZEN,False,f0b01c992e5378802296eea61bedad91703d229e11aa1359034fe0bdacdeb337
stage_a_discovery_v1,542,SA-D008-R02,SA-D008,8,R02,2,resilient_core,validation,False,6747b1dfe6d1fddc8e42e564ce279872a9811fc1dca50cdfb1ebacd50350ac36,NOT_FROZEN,False,70b8ba554fe76b806524c626bb4dc59c4b46a7dd4994f2d24840381f7fef5644
stage_a_discovery_v1,543,SA-D008-R03,SA-D008,8,R03,3,resilient_core,validation,False,6747b1dfe6d1fddc8e42e564ce279872a9811fc1dca50cdfb1ebacd50350ac36,NOT_FROZEN,False,061aa60be16179c5a95d6d38804ffb31a303e85be2ab7c2075384604d9d4365b
stage_a_discovery_v1,544,SA-D008-R04,SA-D008,8,R04,4,resilient_core,validation,False,6747b1dfe6d1fddc8e42e564ce279872a9811fc1dca50cdfb1ebacd50350ac36,NOT_FROZEN,False,95b8b7c89a2cf49b91fa8c7207c60ce3c923baacf09d141b94d5ff54da48456f
stage_a_discovery_v1,545,SA-D009-R00,SA-D009,9,R00,0,resilient_core,validation,False,df48fc156562af2ed3ecf37f0761b9307dfe92d152d83c562f84347e0af16fed,NOT_FROZEN,False,a65c2c36b29adaf9c0bb1b2cf377841b7d509ac4b5301a8795cfce5f249f26a7
stage_a_discovery_v1,546,SA-D009-R01,SA-D009,9,R01,1,resilient_core,validation,False,df48fc156562af2ed3ecf37f0761b9307dfe92d152d83c562f84347e0af16fed,NOT_FROZEN,False,29c91bb463515e456829fd4be099f56fcf6232502d05ae30b785cd1bd229bd46
