,gcc_frac_mean,gcc_frac_min,max_partition_streak,partition_any,partition_fraction
gcc_frac_mean,1.0,1.0,-0.7041787902195303,-0.7041787902195303,-0.7041787902195303
gcc_frac_min,1.0,1.0,-0.7041787902195303,-0.7041787902195303,-0.7041787902195303
max_partition_streak,-0.7041787902195303,-0.7041787902195303,1.0,1.0,1.0
partition_any,-0.7041787902195303,-0.7041787902195303,1.0,1.0,1.0
partition_fraction,-0.7041787902195303,-0.7041787902195303,1.0,1.0,1.0
