target,count,min,max,mean,std,p25,p50,p75,zeros,ones
gcc_frac_mean,24,0.0666666666666666,1.0,0.318039401395815,0.3388234264415354,0.10108108108108108,0.17954911433172294,0.2664835164835164,0,1
gcc_frac_min,24,0.0666666666666666,1.0,0.318039401395815,0.3388234264415354,0.10108108108108108,0.17954911433172294,0.2664835164835164,0,1
max_partition_streak,24,0.0,2.0,1.5833333333333333,0.8297022339981069,2.0,2.0,2.0,5,0
partition_any,24,0.0,1.0,0.7916666666666666,0.41485111699905347,1.0,1.0,1.0,5,19
partition_fraction,24,0.0,1.0,0.7916666666666666,0.41485111699905347,1.0,1.0,1.0,5,19
